%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
13.0, 4573.6806640625, 15834.4443359375, 29444.599609375, 8608.3271484375, 7222.69775390625, 17885.59765625, 4125.7744140625, 0.0, 0.12600000202655792, -0.05000000074505806, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.597765650358343E9, 2020-08-18 08:47:30.358
14.0, 4566.64013671875, 15827.8955078125, 29417.30859375, 8589.4169921875, 7210.359375, 17872.095703125, 4118.5771484375, 0.0, 0.12400000542402267, -0.046000003814697266, 0.9940000176429749, 192.0, 3.0, 224.0, 254.0, 144.0, 31.0, 16.0, 0.0, 0.0, 0.0, 1.5977656503583467E9, 2020-08-18 08:47:30.358
15.0, 4566.19287109375, 15824.8779296875, 29410.71484375, 8595.3857421875, 7210.73974609375, 17871.134765625, 4119.62744140625, 0.0, 0.12400000542402267, -0.046000003814697266, 0.9940000176429749, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503583508E9, 2020-08-18 08:47:30.358
16.0, 4566.1484375, 15823.6484375, 29427.658203125, 8611.5234375, 7215.43359375, 17879.71875, 4123.06982421875, 0.0, 0.12400000542402267, -0.046000003814697266, 0.9940000176429749, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503583553E9, 2020-08-18 08:47:30.358
17.0, 4563.57763671875, 15822.12890625, 29428.8203125, 8599.609375, 7210.806640625, 17875.94140625, 4116.83349609375, 0.0, 0.12400000542402267, -0.046000003814697266, 0.9940000176429749, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503583596E9, 2020-08-18 08:47:30.358
18.0, 4564.18115234375, 15823.3583984375, 29416.884765625, 8584.8798828125, 7206.33642578125, 17868.744140625, 4114.978515625, 0.0, 0.12400000542402267, -0.046000003814697266, 0.9940000176429749, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503583639E9, 2020-08-18 08:47:30.358
19.0, 4562.7509765625, 15822.2626953125, 29414.671875, 8595.3408203125, 7207.5654296875, 17866.5078125, 4116.05126953125, 0.0, 0.12400000542402267, -0.046000003814697266, 0.9940000176429749, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.597765650358368E9, 2020-08-18 08:47:30.358
20.0, 4562.63916015625, 15820.7431640625, 29422.806640625, 8602.9853515625, 7211.29833984375, 17871.515625, 4117.548828125, 0.0, 0.12400000542402267, -0.046000003814697266, 0.9940000176429749, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.597765650358372E9, 2020-08-18 08:47:30.358
21.0, 4565.38818359375, 15821.234375, 29419.857421875, 8600.8837890625, 7214.31591796875, 17878.421875, 4119.42626953125, 0.0, 0.12400000542402267, -0.046000003814697266, 0.9940000176429749, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503583763E9, 2020-08-18 08:47:30.358
22.0, 4563.24267578125, 15820.072265625, 29410.71484375, 8592.0771484375, 7206.73876953125, 17869.16796875, 4113.1455078125, 0.0, 0.12400000542402267, -0.046000003814697266, 0.9940000176429749, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503583827E9, 2020-08-18 08:47:30.358
23.0, 4565.142578125, 15824.3193359375, 29416.123046875, 8596.681640625, 7209.89013671875, 17866.0390625, 4114.93359375, 0.0, 0.12800000607967377, -0.046000003814697266, 0.9980000257492065, 192.0, 4.0, 0.0, 254.0, 144.0, 31.0, 48.0, 0.0, 0.0, 0.0, 1.5977656503584116E9, 2020-08-18 08:47:30.358
24.0, 4565.25439453125, 15824.2294921875, 29424.193359375, 8616.865234375, 7217.06494140625, 17871.783203125, 4116.83349609375, 0.0, 0.12800000607967377, -0.046000003814697266, 0.9980000257492065, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503584192E9, 2020-08-18 08:47:30.358
25.0, 4568.31640625, 15827.0009765625, 29429.4453125, 8617.1337890625, 7220.26123046875, 17878.9140625, 4120.85693359375, 0.0, 0.12800000607967377, -0.046000003814697266, 0.9980000257492065, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.597765650358424E9, 2020-08-18 08:47:30.358
26.0, 4567.310546875, 15826.666015625, 29427.2109375, 8608.8408203125, 7214.06982421875, 17876.052734375, 4119.1806640625, 0.0, 0.12800000607967377, -0.046000003814697266, 0.9980000257492065, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503585174E9, 2020-08-18 08:47:30.358
27.0, 4560.18017578125, 15817.099609375, 29419.90234375, 8595.8994140625, 7203.810546875, 17863.24609375, 4111.3798828125, 0.0, 0.12800000607967377, -0.046000003814697266, 0.9980000257492065, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.597765650358523E9, 2020-08-18 08:47:30.358
28.0, 4561.18603515625, 15812.2265625, 29416.81640625, 8597.6650390625, 7205.5537109375, 17866.0625, 4115.64892578125, 0.0, 0.12800000607967377, -0.046000003814697266, 0.9980000257492065, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503585277E9, 2020-08-18 08:47:30.358
29.0, 4562.41552734375, 15815.6025390625, 29425.400390625, 8610.2490234375, 7209.755859375, 17874.197265625, 4120.521484375, 0.0, 0.12800000607967377, -0.046000003814697266, 0.9980000257492065, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503585324E9, 2020-08-18 08:47:30.358
30.0, 4559.77783203125, 15816.787109375, 29415.029296875, 8593.306640625, 7204.92822265625, 17868.23046875, 4113.7939453125, 0.0, 0.12800000607967377, -0.046000003814697266, 0.9980000257492065, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503585377E9, 2020-08-18 08:47:30.358
31.0, 4560.27001953125, 15817.8369140625, 29405.708984375, 8583.4716796875, 7204.14599609375, 17861.234375, 4109.7705078125, 0.0, 0.12800000607967377, -0.046000003814697266, 0.9980000257492065, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503585424E9, 2020-08-18 08:47:30.358
32.0, 4560.158203125, 15821.435546875, 29423.455078125, 8604.03515625, 7210.5830078125, 17864.765625, 4111.3349609375, 0.0, 0.12800000607967377, -0.046000003814697266, 0.9980000257492065, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503585472E9, 2020-08-18 08:47:30.358
